Date;Open;High;Low;Close
2018.08.31;15835.28;15906.13;15796.40;15846.20
2018.08.30;15843.43;15850.54;15782.94;15819.65
2018.08.29;15873.47;15888.88;15804.27;15816.48
2018.08.28;15839.14;15883.39;15807.98;15838.84
2018.08.27;15701.98;15809.23;15690.51;15796.41
2018.08.24;15675.94;15693.50;15584.50;15629.21
2018.08.23;15683.24;15703.69;15615.56;15663.77
2018.08.21;15638.23;15656.90;15597.37;15639.68
2018.08.20;15542.67;15622.04;15542.63;15605.90
2018.08.17;15437.81;15508.43;15432.26;15495.21
2018.08.16;15414.64;15460.47;15337.56;15360.75
2018.08.14;15361.65;15435.10;15346.38;15425.18
2018.08.13;15375.64;15400.23;15303.53;15323.04
2018.08.10;15516.23;15518.77;15406.56;15423.22
2018.08.09;15501.48;15523.42;15473.30;15500.19
2018.08.08;15424.71;15473.18;15387.21;15450.35
2018.08.07;15458.92;15464.41;15355.84;15391.07
2018.08.06;15420.31;15462.20;15391.34;15404.19
2018.08.03;15281.38;15369.70;15280.78;15361.14
2018.08.02;15320.91;15320.91;15205.80;15219.82
2018.08.01;15340.55;15370.63;15271.48;15312.72
2018.07.31;15279.74;15327.53;15207.56;15314.81
2018.07.30;15256.46;15275.23;15190.69;15264.35
2018.07.27;15141.87;15212.51;15124.65;15200.81
2018.07.26;15021.85;15082.07;15011.36;15059.90
2018.07.25;15031.79;15041.62;14968.99;14996.19
2018.07.24;14906.39;15002.64;14892.52;14994.47
2018.07.23;14760.76;14865.69;14754.25;14855.22
2018.07.20;14665.13;14750.76;14632.27;14735.33
2018.07.19;14744.68;14746.37;14622.10;14657.63
2018.07.18;14856.56;14873.84;14679.09;14705.78
2018.07.17;14673.31;14794.75;14627.17;14786.73
2018.07.16;14858.55;14858.55;14637.54;14649.37
2018.07.13;14916.22;14930.02;14809.31;14826.58
2018.07.12;14879.40;14979.64;14871.12;14882.13
2018.07.11;14862.49;14881.78;14806.23;14820.45
2018.07.10;14772.86;14856.79;14766.58;14847.65
2018.07.09;14650.08;14729.94;14650.08;14719.51
2018.07.06;14538.23;14651.85;14526.68;14587.74
2018.07.05;14606.98;14616.55;14527.69;14546.61
2018.07.04;14516.16;14594.64;14476.94;14584.97
2018.07.03;14468.19;14534.51;14407.25;14515.44
2018.07.02;14578.53;14586.41;14379.24;14450.23
2018.06.29;14374.88;14538.43;14372.07;14528.54
2018.06.28;14468.55;14480.31;14314.91;14337.41
2018.06.27;14655.71;14673.33;14456.35;14478.96
2018.06.26;14608.10;14690.18;14603.26;14640.97
2018.06.25;14766.38;14771.17;14631.42;14646.20
2018.06.22;14653.91;14760.25;14602.28;14743.27
2018.06.21;14744.72;14758.40;14643.97;14654.16
2018.06.20;14664.74;14727.13;14657.69;14715.02
2018.06.19;14773.33;14773.38;14635.23;14649.06
2018.06.18;14840.21;14846.03;14768.98;14777.60
2018.06.15;14851.99;14866.11;14753.80;14813.40
